番号,165,
名前,周芷若,
呼び名,周芷若,
基礎,体力,1300
基礎,気力,1200
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,0
基礎,深度,2000
基礎,酒気,1100
素質,処女,1
素質,性別,1
素質,人类,1
素質,胸圍,0;並乳
素質,ヒップサイズ,0;並臀
素質,体型,0;並
素質,容姿,1;容姿端麗
素質,年齢,0;青年
素質,Ｖ感度,1;敏感-未经人事
素質,Ｃ感度,0
素質,Ａ感度,0
素質,Ｂ感度,0
素質,Ｍ感度,0
素質,開朗／阴郁,-1;阴郁-内敛沉静
素質,性的兴趣,-1;保守的-表面规矩
素質,難以越過的底線,1;底线很高
素質,貞操,1;贞操重视-清纯人设
素質,羞恥心,1;害羞-极度容易脸红
素質,胆量,-1;膽怯-看似柔弱
素質,応答,-1;老實-乖巧听话的外表
素質,自尊心,0
素質,痛覚,1;怕痛-但忍耐力惊人
素質,弄濕難易,-1;弄濕難易-紧张体质
素質,快感応答,-1;否定快感-嘴上说不要
素質,自己愛,-1;压抑-自我压抑极深
素質,抵抗,1;抵抗-本能反抗
素質,迷信,1;迷信-容易被哄骗
素質,酒耐性,-1;不擅于喝酒
能力,Ｖ感覚,1
能力,従順,1
能力,欲望,1
能力,技巧,0
能力,受虐属性,0
能力,戦闘能力,4
能力,指,2
能力,清掃技能,2
能力,教養,2
経験,Ｖ経験,0;处女
経験,接吻経験,0;初吻尚在
経験,絶頂経験,0;从未体验过
経験,愛情経験,5
フラグ,基本服装セット,10;服装
フラグ,地位,5000;地位
フラグ,初期位置,99;不在拠点
フラグ,来訪時間,540;9時
フラグ,帰宅時間,1080;18時
フラグ,就寝時間,1380;23時
フラグ,起床時間,360;6時
フラグ,よく行く地域,0
フラグ,自宅位置,40
フラグ,移動節度,1
CSTR,10,～峨眉派弟子～ ●出身：峨眉 ●擅长：九阴白骨爪、峨眉剑法
