番号,162,
名前,黄蓉,
呼び名,黄蓉,
基礎,体力,2520
基礎,気力,1700
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,0
基礎,深度,2000
基礎,酒気,2000
素質,処女,0
素質,性別,1
素質,人类,1
素質,胸圍,1;巨乳
素質,ヒップサイズ,1;潤臀
素質,体型,-1;娇小
素質,容姿,1;容姿端麗
素質,年齢,0;青年
素質,Ｃ感度,1;敏感
素質,Ｖ感度,1;敏感
素質,Ｂ感度,1;敏感
素質,Ｍ感度,0
素質,Ａ感度,0
素質,Ｍ鈍感無視,1
素質,開朗／阴郁,1;開朗
素質,性的兴趣,1;好奇心
素質,謎之魅力,1
素質,傲嬌,1
素質,態度,-1;坦率-在床上很直接
素質,快感応答,1;接受快感
素質,弄濕難易,1;弄濕難易-稍微挑逗就湿了
素質,容易高潮,1;容易高潮-连続絶頂可
素質,接吻魔,1;接吻魔-舌吻上瘾
素質,淫乳,1;淫乳-乳房是敏感带
素質,淫壺,1;淫壺-名器体质
素質,喜歡引人注目,1
素質,酒耐性,1;擅于喝酒-微醺后更放荡
素質,回復速度,1;回復快
素質,習得速度,1;学習快
素質,靈活手指,1
素質,舌頭靈活,1
素質,容易中毒,1;容易上瘾-快感中毒体质
素質,小悪魔,1
能力,Ｃ感覚,2
能力,Ｖ感覚,2
能力,Ｂ感覚,2
能力,Ｍ感覚,1
能力,親密,3
能力,従順,1
能力,欲望,3;婚后已开发, 欲望较强
能力,技巧,3;经验丰富, 技巧纯熟
能力,奉仕精神,2
能力,露出癖,1;微醺后愿意露
能力,料理技能,4
能力,話術技能,3
能力,指,3
能力,舌,3
能力,腰,2
能力,膣,1
能力,教養,3
能力,戦闘能力,4
経験,Ｃ経験,25
経験,Ｖ経験,30;已婚, 阴道经验丰富
経験,Ｂ経験,20
経験,Ｍ経験,10
経験,Ｃ絶頂経験,10
経験,Ｖ絶頂経験,20
経験,Ｂ絶頂経験,10
経験,絶頂経験,25
経験,射精経験,30
経験,精液経験,30
経験,膣射経験,25
経験,Ｖ性交経験,40;已婚
経験,口淫経験,20
経験,乳交経験,15
経験,接吻経験,30
経験,愛情経験,20
経験,奉仕快楽経験,15
フラグ,基本服装セット,10;服装
フラグ,地位,5000;地位
フラグ,初期位置,99;不在拠点
フラグ,来訪時間,540;9時
フラグ,帰宅時間,1080;18時
フラグ,就寝時間,1380;23時
フラグ,起床時間,360;6時
フラグ,よく行く地域,0
フラグ,自宅位置,40
フラグ,移動節度,1
素質,非童貞,1;已破处
CSTR,10,～桃花岛主之女～ ●出身：桃花岛 ●擅长：奇门遁甲、烹饪、打狗棒法
