番号,163,
名前,小龙女,
呼び名,小龙女,
基礎,体力,3000
基礎,気力,2000
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,0
基礎,深度,2000
基礎,酒気,1000
素質,処女,1
素質,性別,1
素質,人类,1
素質,胸圍,0;並乳-大小适中, 盈盈可握
素質,ヒップサイズ,-1;小臀-紧致
素質,体型,1;長身-修长高挑
素質,容姿,1;容姿端麗-绝世容颜
素質,年齢,0;青年
素質,Ｖ感度,1;敏感-未经人事所以极度敏感
素質,Ｃ感度,0
素質,Ａ感度,-1;鈍感
素質,Ｂ感度,0
素質,Ｍ感度,-1;鈍感-不了解什么是快感
素質,Ｃ鈍感無視,1
素質,Ａ鈍感無視,1
素質,Ｂ鈍感無視,1
素質,開朗／阴郁,-1;阴郁-不食人间烟火
素質,感情缺乏,1
素質,性的兴趣,-1;保守的-完全不懂性
素質,無知,1;无性知识
素質,難以越過的底線,1
素質,自制心,1
素質,貞操,1;贞操重视
素質,応答,-1;老實-问什么答什么
素質,自尊心,1;自尊心高
素質,痛覚,-1;不怕痛-古墓苦修练就
素質,弄濕難易,-1;弄濕難易-冷体质
素質,快感応答,-1;否定快感-不懂也不承认舒服
素質,羞恥心,1;害羞-被看到身体会害羞
素質,回復速度,1;回復快-内力深厚
素質,酒耐性,-2;不會喝酒-一杯倒
能力,Ｖ感覚,1
能力,Ｃ感覚,0
能力,Ａ感覚,0
能力,Ｂ感覚,0
能力,Ｍ感覚,0
能力,親密,0
能力,従順,1
能力,欲望,0
能力,技巧,0
能力,奉仕精神,0
能力,膣,1;玉女心经
能力,戦闘能力,5;武功极高
能力,音楽技能,3;琴艺
能力,清掃技能,3
能力,教養,2
能力,指,1
経験,Ｖ経験,0;处女
経験,接吻経験,0;初吻尚在
経験,絶頂経験,0;从未高潮
経験,愛情経験,0;不懂情爱
フラグ,基本服装セット,10;服装
フラグ,地位,5000;地位
フラグ,初期位置,99;不在拠点
フラグ,来訪時間,540;9時
フラグ,帰宅時間,1080;18時
フラグ,就寝時間,1380;23時
フラグ,起床時間,360;6時
フラグ,よく行く地域,0
フラグ,自宅位置,40
フラグ,移動節度,1
CSTR,10,～古墓派传人～ ●出身：终南山古墓 ●擅长：玉女素心剑法、琴艺
